Year,Country,Happiness Rank,Happiness Score,Freedom,Generosity,Healthy life expectancy,Perceptions of corruption,GDP per capita,Social support,Dystopia Residual
2015,Switzerland,1,7.587,0.66557,0.29678,0.94143,0.41978,1.39651,,2.51738
2015,Iceland,2,7.561,0.62877,0.4363,0.94784,0.14145,1.30232,,2.70201
2015,Denmark,3,7.527,0.64938,0.34139,0.87464,0.48357,1.32548,,2.49204
2015,Norway,4,7.522,0.66973,0.34699,0.88521,0.36503,1.459,,2.46531
2015,Canada,5,7.427,0.63297,0.45811,0.90563,0.32957,1.32629,,2.45176
2015,Finland,6,7.406,0.64169,0.23351,0.88911,0.41372,1.29025,,2.61955
2015,Netherlands,7,7.378,0.61576,0.4761,0.89284,0.31814,1.32944,,2.4657
2015,Sweden,8,7.364,0.6598,0.36262,0.91087,0.43844,1.33171,,2.37119
2015,New Zealand,9,7.286,0.63938,0.47501,0.90837,0.42922,1.25018,,2.26425
2015,Australia,10,7.284,0.65124,0.43562,0.93156,0.35637,1.33358,,2.26646
2015,Israel,11,7.278,0.41319,0.33172,0.91387,0.07785,1.22857,,3.08854
2015,Costa Rica,12,7.226,0.63376,0.25497,0.86027,0.10583,0.95578,,3.17728
2015,Austria,13,7.2,0.62433,0.33088,0.89042,0.18676,1.33723,,2.5332
2015,Mexico,14,7.187,0.48181,0.14074,0.81444,0.21312,1.02054,,3.60214
2015,United States,15,7.119,0.54604,0.40105,0.86179,0.1589,1.39451,,2.51011
2015,Brazil,16,6.983,0.49049,0.14574,0.69702,0.17521,0.98124,,3.26001
2015,Luxembourg,17,6.946,0.61583,0.28034,0.91894,0.37798,1.56391,,1.96961
2015,Ireland,18,6.94,0.61777,0.45901,0.89533,0.28703,1.33596,,1.9757
2015,Belgium,19,6.937,0.5845,0.2225,0.89667,0.2254,1.30782,,2.41484
2015,United Arab Emirates,20,6.901,0.64157,0.26428,0.80925,0.38583,1.42727,,2.24743
2015,United Kingdom,21,6.867,0.59625,0.51912,0.90943,0.32067,1.26637,,1.96994
2015,Oman,22,6.853,0.63274,0.21542,0.76276,0.32524,1.36011,,2.47489
2015,Venezuela,23,6.81,0.42908,0.05841,0.72052,0.11069,1.04424,,3.19131
2015,Singapore,24,6.798,0.54252,0.31105,1.02525,0.4921,1.52186,,1.88501
2015,Panama,25,6.786,0.5421,0.24434,0.79661,0.0927,1.06353,,2.84848
2015,Germany,26,6.75,0.61477,0.28214,0.89186,0.21843,1.32792,,2.11569
2015,Chile,27,6.67,0.44132,0.33363,0.85857,0.12869,1.10715,,2.67585
2015,Qatar,28,6.611,0.6404,0.32573,0.79733,0.52208,1.69042,,1.55674
2015,France,29,6.575,0.55011,0.12332,0.94579,0.20646,1.27778,,2.21126
2015,Argentina,30,6.574,0.44974,0.11451,0.78723,0.08484,1.05351,,2.836
2015,Czechia,31,6.505,0.46364,0.10686,0.84483,0.02652,1.17898,,2.67782
2015,Uruguay,32,6.485,0.60362,0.2324,0.8116,0.24558,1.06166,,2.32142
2015,Colombia,33,6.477,0.53466,0.18401,0.69077,0.0512,0.91861,,2.85737
2015,Thailand,34,6.455,0.55664,0.5763,0.7385,0.03187,0.9669,,2.31945
2015,Saudi Arabia,35,6.411,0.31048,0.13706,0.72025,0.32524,1.39541,,2.43872
2015,Spain,36,6.329,0.45951,0.18227,0.95562,0.06398,1.23011,,2.12367
2015,Malta,37,6.302,0.60365,0.51752,0.88721,0.13586,1.2074,,1.6488
2015,Taiwan Province of China,38,6.298,0.3974,0.25376,0.8753,0.08129,1.29098,,2.32323
2015,Kuwait,39,6.295,0.55499,0.16228,0.72492,0.25609,1.55422,,1.87634
2015,Suriname,40,6.269,0.59657,0.16991,0.6082,0.13633,0.99534,,2.79094
2015,Trinidad and Tobago,41,6.168,0.55884,0.31844,0.61483,0.0114,1.21183,,2.26882
2015,El Salvador,42,6.13,0.4035,0.10692,0.67737,0.11776,0.76454,,3.035
2015,Guatemala,43,6.123,0.57733,0.27489,0.64425,0.09472,0.74553,,2.74255
2015,Uzbekistan,44,6.003,0.65821,0.22837,0.59772,0.30826,0.63244,,2.23741
2015,Slovakia,45,5.995,0.31751,0.16893,0.78902,0.03431,1.16891,,2.24639
2015,Japan,46,5.987,0.49615,0.10705,0.99111,0.1806,1.27074,,1.68435
2015,South Korea,47,5.984,0.33208,0.18557,0.96538,0.07857,1.24461,,2.21978
2015,Ecuador,48,5.975,0.48574,0.11541,0.79075,0.1809,0.86402,,2.53942
2015,Bahrain,49,5.96,0.45492,0.17362,0.74716,0.306,1.32376,,1.73797
2015,Italy,50,5.948,0.26236,0.22823,0.95446,0.02901,1.25114,,2.02518
2015,Bolivia,51,5.89,0.57414,0.20536,0.5392,0.088,0.68133,,2.82334
2015,Moldova,52,5.889,0.32818,0.20951,0.61826,0.01615,0.59448,,3.10712
2015,Paraguay,53,5.878,0.53899,0.3424,0.66098,0.08242,0.75985,,2.18896
2015,Kazakhstan,54,5.855,0.51649,0.11827,0.64368,0.08454,1.12254,,2.24729
2015,Slovenia,55,5.848,0.60855,0.25328,0.87337,0.03787,1.18498,,1.61583
2015,Lithuania,56,5.833,0.21342,0.02641,0.73128,0.01031,1.14723,,2.44649
2015,Nicaragua,57,5.828,0.55475,0.27815,0.74314,0.19317,0.59325,,2.32407
2015,Peru,58,5.824,0.41496,0.14982,0.73017,0.05989,0.90019,,2.5945
2015,Belarus,59,5.813,0.37938,0.11046,0.73608,0.1909,1.03192,,2.1309
2015,Poland,60,5.791,0.53122,0.16759,0.77903,0.04212,1.12555,,1.86565
2015,Malaysia,61,5.77,0.53024,0.33075,0.72394,0.10501,1.12486,,1.88541
2015,Croatia,62,5.759,0.25883,0.05444,0.78805,0.0243,1.08254,,2.75414
2015,Libya,63,5.754,0.41668,0.18295,0.7038,0.11023,1.13145,,2.09066
2015,Russia,64,5.716,0.36679,0.00199,0.66926,0.03005,1.13764,,2.27394
2015,Jamaica,65,5.709,0.50442,0.2123,0.68741,0.02299,0.81038,,2.32038
2015,North Cyprus,66,5.695,0.49027,0.26169,0.92356,0.1428,1.20806,,1.59888
2015,Cyprus,67,5.689,0.40672,0.30638,0.92356,0.06146,1.20813,,1.88931
2015,Algeria,68,5.605,0.28579,0.07822,0.61766,0.17383,0.93929,,2.43209
2015,Kosovo,69,5.589,0.24749,0.2831,0.63132,0.04741,0.80148,,2.76579
2015,Turkmenistan,70,5.548,0.4761,0.16979,0.53886,0.30844,0.95847,,1.86984
2015,Mauritius,71,5.477,0.56066,0.37744,0.7095,0.07521,1.00761,,1.76145
2015,Hong Kong S.A.R. of China,72,5.474,0.59608,0.39478,1.01328,0.37124,1.38604,,0.65429
2015,Estonia,73,5.429,0.44888,0.0868,0.77361,0.15184,1.15174,,1.58782
2015,Indonesia,74,5.399,0.46611,0.51535,0.63793,0.0,0.82827,,1.86399
2015,Vietnam,75,5.36,0.59444,0.1686,0.74676,0.10441,0.63216,,2.20173
2015,Turkey,76,5.332,0.22815,0.12253,0.73172,0.15746,1.06098,,2.08528
2015,Kyrgyzstan,77,5.286,0.43477,0.3003,0.65088,0.04232,0.47428,,2.2327
2015,Nigeria,78,5.268,0.34334,0.27233,0.16007,0.0403,0.65435,,2.89319
2015,Bhutan,79,5.253,0.53206,0.47998,0.57407,0.15445,0.77042,,1.63794
2015,Azerbaijan,80,5.212,0.3703,0.07799,0.64045,0.16065,1.02389,,2.00073
2015,Pakistan,81,5.194,0.12102,0.33671,0.51466,0.10464,0.59543,,3.10709
2015,Jordan,82,5.192,0.40661,0.11053,0.69639,0.14293,0.90198,,1.87996
2015,Montenegro,82,5.192,0.1826,0.1614,0.72521,0.14296,0.97438,,2.10017
2015,China,84,5.14,0.51697,0.08185,0.81658,0.02781,0.89012,,1.8604
2015,Zambia,85,5.129,0.48827,0.19591,0.29924,0.12468,0.47038,,2.6343
2015,Romania,86,5.124,0.35068,0.13748,0.7689,0.00649,1.04345,,1.93129
2015,Serbia,87,5.123,0.20107,0.19231,0.74836,0.02617,0.92053,,2.025
2015,Portugal,88,5.102,0.51469,0.13719,0.87519,0.01078,1.15991,,1.26462
2015,Latvia,89,5.098,0.29671,0.18226,0.72437,0.06332,1.11312,,1.62215
2015,Philippines,90,5.073,0.62545,0.24991,0.58114,0.12279,0.70532,,1.7536
2015,Somaliland region,91,5.057,0.46582,0.50318,0.43873,0.39928,0.18847,,2.11032
2015,Morocco,92,5.013,0.41691,0.07172,0.60954,0.08546,0.73479,,2.45373
2015,North Macedonia,93,5.007,0.33457,0.22359,0.73545,0.05327,0.91851,,1.73933
2015,Mozambique,94,4.971,0.34037,0.22269,0.09131,0.15603,0.08308,,3.05137
2015,Albania,95,4.959,0.35733,0.14272,0.81325,0.06413,0.87867,,1.89894
2015,Bosnia and Herzegovina,96,4.949,0.09245,0.24808,0.79081,0.00227,0.83223,,2.06367
2015,Lesotho,97,4.898,0.31767,0.16388,0.07612,0.12504,0.37545,,2.79832
2015,Dominican Republic,98,4.885,0.57672,0.21684,0.66825,0.14234,0.89537,,1.21305
2015,Laos,99,4.876,0.59591,0.42192,0.54909,0.24249,0.59066,,1.73799
2015,Mongolia,100,4.874,0.43626,0.3323,0.60268,0.02666,0.82819,,1.34759
2015,"Eswatini, Kingdom of",101,4.867,0.30658,0.18259,0.07566,0.0306,0.71206,,2.48676
2015,Greece,102,4.857,0.07699,0.0,0.88213,0.01397,1.15406,,1.80101
2015,Lebanon,103,4.839,0.33916,0.21854,0.83947,0.04582,1.02564,,1.57059
2015,Hungary,104,4.8,0.32112,0.128,0.75905,0.02758,1.12094,,1.24074
2015,Honduras,105,4.788,0.40148,0.23027,0.6951,0.06825,0.59532,,1.84408
2015,Tajikistan,106,4.786,0.47216,0.22974,0.57379,0.15072,0.39047,,2.11399
2015,Tunisia,107,4.739,0.26268,0.06431,0.73793,0.06358,0.88113,,2.12466
2015,Palestinian Territories,108,4.715,0.24499,0.11251,0.66015,0.12905,0.59867,,2.04384
2015,Bangladesh,109,4.694,0.4082,0.21222,0.60164,0.12569,0.39753,,2.51767
2015,Iran,110,4.686,0.30033,0.38086,0.69805,0.05863,1.0088,,1.6944
2015,Ukraine,111,4.681,0.25123,0.15275,0.6739,0.02961,0.79907,,1.5714
2015,Iraq,112,4.677,0.0,0.17922,0.60237,0.13788,0.98549,,1.95335
2015,South Africa,113,4.642,0.33207,0.11973,0.27688,0.08884,0.92049,,1.71956
2015,Ghana,114,4.633,0.42342,0.23087,0.40132,0.04355,0.54558,,2.30919
2015,Zimbabwe,115,4.61,0.25861,0.18987,0.33475,0.08079,0.271,,2.44191
2015,Liberia,116,4.571,0.28531,0.24362,0.34201,0.06232,0.0712,,2.77729
2015,India,117,4.565,0.39786,0.26475,0.51529,0.08492,0.64499,,2.27513
2015,Sudan,118,4.55,0.10081,0.19062,0.36878,0.1466,0.52107,,2.20857
